"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CYBB",-149.05546494331,964.127549979701,-1.41833750680065,0.156541548530665,0.395691353856848,-5.14367491411552
"PRR29-AS1",-2.10186420893339,48.2125569246351,-1.41824041218023,0.156569874242145,0.395723297383154,-5.1438056214153
"ASF1B",15.23896016684,238.646088155695,1.41753852789477,0.156774752966818,0.396201419580704,-5.14475022282954
"SRRM5",1.12345807936283,23.0096341741956,1.41736068445905,0.156826697470277,0.396292268215205,-5.1449894921301
"SPRED2",22.5952617748394,1095.97976181345,1.41730787997114,0.156842123120536,0.396292268215205,-5.14506052916968
"BLOC1S6",-28.9483788039624,1382.5118347198,-1.41718438812994,0.156878203000968,0.396343729216387,-5.14522665051425
"CPT1C",0.575384725587866,6.39565833344156,1.41708718173808,0.156906607652509,0.396361006223024,-5.1453574025272
"CECR6",-4.05001923396982,24.1672429225901,-1.41702227036614,0.156925577561408,0.396361006223024,-5.14544470964619
"MIR363",-0.0573441387874073,0.104191983015973,-1.41695006464819,0.15694668124066,0.396361006223024,-5.14554182313917
"ZNF559",-7.47070219993742,274.611708034678,-1.41694590840672,0.156947896057547,0.396361006223024,-5.14554741295014
"KIF1C",241.048252425349,9425.31852295586,1.41682162505251,0.156984225813091,0.39641306556306,-5.14571455655099
"FAM196B",-0.281685787818001,1.31797489585422,-1.41672945013166,0.157011173952311,0.396441426603914,-5.14583850942127
"KCTD11",44.4352497338866,1942.38826158643,1.41642423705682,0.157100430732264,0.396627090860837,-5.14624888962837
"ALPL",882.101264198658,15429.2060134616,1.41613915840192,0.157183834194073,0.396762486858846,-5.14663211832816
"TUBAL3",1.03650463871638,18.6085836142665,1.4161215059599,0.157188999750751,0.396762486858846,-5.14665584582816
"MPP5",-26.3544249871554,1367.93168051898,-1.41607964942747,0.157201248559598,0.396762486858846,-5.14671210604023
"DGCR5",1.71983613093729,14.5101183219876,1.41595623687686,0.157237367972666,0.396813943946225,-5.14687797772508
"MIR6772",-0.0855092979889535,0.423173854413985,-1.41587739870166,0.15726044500808,0.396832479480172,-5.14698393204372
"LYPD3",112.823224512514,978.882981070042,1.41575146224801,0.157297313704294,0.396885809830662,-5.14715317178131
"DCAF7",84.8833845052714,6683.6128824548,1.41568232107034,0.157317558014285,0.396888385387631,-5.1472460808093
